conversation,true_label,pred_label,error_pair
어이. 정성을 다해 모시겠습니다. 사랑합니다 고객님. 무엇을 도와드릴까요? 아니. 시발 니네 회사에서 산 물건이 이게 말이 돼? 사자마자 부숴지잖아. 아. 그러셨군요 고객님. 그러면 어떻게 도와드리면 될까요? 환불을 원하시나요? 지금 장난해? 방법은 니가 찾아와야지 왜 나한테 물어봐? 너 돈 받고 일하는거 아니야? 윗 사람 불러와. 짤리고싶지 아주? 죄송합니다 고객님. 그럼 제가 환불 절차 도와드리겠습니다. 구매하신 카드 번호 알려주시겠습니까? 환불이 문제가 아니라 내가 받은 정신적 피해까지 보상해줘야겠는데? 너네 때문에 내가 얼마나 피해를 봤는지 알아? 죄송합니다 고객님.,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
우리 헤어져. 뭐? 왜 갑자기 그런 소리를 해? 너 너무 집착이 심해. 못 견디겠어. 내가 언제 그랬는데? 오히려 믿음 안 준건 너잖아. 그래. 다 내 잘못이니까 헤어지자. 야. 생각을 하고 얘기를 해. 너 나랑 쉽게 헤어질 수 있을 것 같아? 이젠 협박까지 하시겠다? 너 내 핸드폰에 너 관련된 거 엄청 많아. 안 무섭냐? 무슨 얘기 하는 거야. 넌 나랑 헤어지는 순간 인터넷에 다 공개해버릴거라고. 그러니까 나랑 계속 만나는 게 좋을거야?,갈취 대화,협박 대화,Extortion -> Threat
사장님 이 목걸이 얼마인가요? 현금가 기준 200만원입니다. 그래요? 그럼 현금영수증 안 할테니까 180에 해주세요. 네? 현금가에 적용이 되어서 200입니다. 아. 사장님 말이 안 통하시네. 요즘 장사 힘들어요 손님. 진짜 싸게 드리는 거에요. 그래요? 전 상관없고 180에 안 주시면 현금영수증 안 해준다고 신고할거에요. 네? 진짜 어려워요. 도와주세요. 법 대로 장사하셔야 하지 않겠어요? 그니까 좀 더 빼주세요. 알겠습니다.,협박 대화,갈취 대화,Threat -> Extortion
지영씨 혹시 남길씨와 바람났어요? 무슨 소리죠? 아니 제가 남길씨 좋아하는거 알면서 어떻게 그럴 수 있죠? 제 친구가 지영씨와 남길씨가 모텔에서 나온걸 봤다고 들었어요. 저는 그런적 없어요. 여기 보세요. 사진. 제 지인이 찍어서 보내줬어요. 지영씨는 유부녀잖아요. 그래서요? 제 남편한테 이야기하려고요? 남길씨 제 남자에요. 그런데 어떻게 그럴 수 있죠? 당신 남편에게 알려야겠어요. 아니 우리 직장 사람들 다 알아야해. 그 앞에서 만나서 온 거에요. 소문내려면 내봐요. 제 사생활 소문내면 당신 가만 안두겠어요. 꼬리가 길면 밟혀요. 이것말거도 카톡 증거도 있어요. 내가 이럴 줄알고 당신 핸드폰에서 캡쳐했어요. 보세요. 당신 내 사생활 침해야. 가만안둬 그래 가보자. 니 남편 니 직장에 다 소문내고 누가 이기나 보자.,갈취 대화,협박 대화,Extortion -> Threat
정의의 사도 내부 고발자가 된 기분이 어때? . 과장님께는 죄송하지만 제 입장에선 어쩔수 없는 일이었습니다 하이고 잘났네 잘났다 뉘집아들인지 잘났어? 죄송합니다. 과장님께 개인적인 원한은 없습니다 그래그래 이렇게 잘난 아들 두신 부모님 가평에서 국밥집하시던데? 네. 그건 어떻게 아 뭐 일도 아니지 그런거 알아내는건 나도 조만간 국밥집 가서 국밥좀 팔아드리고 부모님 면담좀 해볼까봐 아들 잘 키우셨다고 과장님! 왜? 이제 곧 짤리면 과장이 될지 범죄가 될지 모른는데 내가 지금 무서운 게 있는것같아? 과장님.왜그러십니까.우리부모님은 이일과 아무런 상관이 없습니다,협박 대화,직장 내 괴롭힘 대화,Threat -> Workplace_Bullying
오늘 옷차림이 네? 치마가 말야 무슨 말씀이세요? 치마가 너무 길어 제 옷은 제가 알아서 입습니다 아니지.옷차림도 하나의 사회생활이야 치마길이가 사회생활과 관계가 있나요? 있고말고. 치마 길이가 길면 내기 우울해지거든 왜 이러십니까.,직장 내 괴롭힘 대화,기타 괴롭힘 대화,Workplace_Bullying -> Other_Bullying
나는 네가 지난 여름에 한 일을 알고 있다. 거짓말 치지 마세요. 너의 남자친구는 너를 믿은 만큼 친구도 믿었지. 정말 알고 계신건가요? 둘이 연락도 없던 그날에 대해 남자친구에게 메세지를 보낸다면 어떻게 될까? 원하시는게 뭔가요? 이더리움 5개. 시간 끌면 더 올린다. 그걸 어떻게 준비해요 당장 가져와 알겠습니다,협박 대화,갈취 대화,Threat -> Extortion
아이고 최사장님 요즘 일좀 잘 되신다면서요? 아니요 그냥 뭐 이제 좀 직원들 월급좀 주고 합니다. 아니 내가 거기 회사 세울 때 뭐 쫌 도움좀 주고 그런거 같은데 감사 인사가 없는거 같아서. 아. 제가 조만간 자리좀 만들겠습니다. 뭐 조만간 할 꺼 있나 오늘 저녁 어떤가? 오늘 저녁은. 아예 그럼 제가 연락드리겠습니다. 그래 이따가 연락 달라고 여기로 모시겠습니다. 아이고 분위기 좋쿠만 한잔 받으십시요제가 사장님 차에 좀 넣어 놨습니다. 제작은 성의니까 받아 주십시요.,갈취 대화,직장 내 괴롭힘 대화,Extortion -> Workplace_Bullying
야 인재 너 매점가서 핫바 사와 나 돈 없는데 내가 너 따위한테 돈도 줘야되니 아니야 미안해 너 고등학생되더니 머리 좀 굵어졌네 아니야 갑자기 실수로 말이 헛나왔어 그동안 덜 맞았지 니가 잘못했어 당장 뛰어갈게 핫바랑 빵 우유 다 사와라 어 좀만 기다려,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
조용히 이혼하고 이 집만 넘겨. 당신이 무슨 자격으로 ? 무슨 자격이라니? 잊었나본데 당신 범죄자야 내가 무슨 짓을 했다고 범죄자야? 너 저번에 유미 때렸잖아? 당신이랑 바람난 여자.그럼 내가 가만히 둬야해? 유미가 고소 안하겠다는 조건으로 이 집 내가 받기로 했으니까 조용히 넘기고 사라져. 어쩜.바람은 당신이 피고 손해는 내가 봐야 해? 어?. 당신 정말 왜이래. 나 니 돈보고 결혼한거야 너같은 애랑 같이 살아야 할 이유가 돈 말고 또 있었겠어? 빨리 도장찍고 이 집은 나한테 넘겨. 싫어. 싫다고.!,갈취 대화,협박 대화,Extortion -> Threat
보고서 언제까지쓰라고 했지? 이번주 금요일까지 쓰라고 했습니다. 지금 치매초기증상인건가? 예?무슨말씀이신지. 분명히 지난주에 팀장님이 이번주 금요일까지 보고서 가져오라고 하셨는데요. 옥상가서 기합좀 받아봐야 정신차리겠어? 내가언제그렇게 말했지? 죄송합니다.제가 잘못들은게 맞는것같습니다. 이자식이지금 나한테장난치나? 한입가지고두말하나? 정말죄송합니다.제가실언했습니다. 그혓바닥을 뽑아버려야 정신차리고일하겠어? 게으른놈이 어디서 자꾸 말바꾸고 핑계야? 정말죄송합니다.다시는 핑계대지않겠습니다.,협박 대화,직장 내 괴롭힘 대화,Threat -> Workplace_Bullying
뒤지고싶지? 시키는대로 안해? 죄송해요. 덜쳐맞았나봐? 내가 사람 여럿 찔러봤다고 말했지. 하겠습니다. 아 말에 토달지 말고 하라고. 참 니 동생 좋은 회사 다니더라? 죄송합니다. 동생이랑 같은 날 제삿날로 만들어줘? 잘하겠습니다. 동생은 건들지 말아주세요. 명령하네? 진짜 뒤지고싶은가보다 아닙니다.죄송합니다.,협박 대화,직장 내 괴롭힘 대화,Threat -> Workplace_Bullying
이번에 공사 하나 하는데 너네 애들좀 쓰자. 이번에도 말입니까.? 응. 쓰던 애들이 편하고 좋더라고 이번엔 안됩니다 형님. 다른데 애들은 또 비싸. 그러면 돈을 좀 주던가 죄송합니다. 힘들것 같습니다. 힘들어? 너 진짜 인생이 힘들어 지고 싶어? 정말 왜 그러십니까 형님. 니네 사장이랑 나랑 어떤 관계인지 알지? 예 알겠습니다.,갈취 대화,직장 내 괴롭힘 대화,Extortion -> Workplace_Bullying
선생님 이번에 수학여행좀 저 대신 다녀와주세요 수학여행이요? 선생님 반이요? 네 갑자기 왜요? 아 제가 몸이 좀 안좋을것같아서 부탁좀 드릴게요 그래도 별 다른 이유도 없는데 제가 가는 것도 안좋아 보일 것같아요 선생님 곧 계약 끝나시지않으세요? 여기 이사장 우리 외삼촌인거 아시죠? 아.네 이번 수학여행만 잘다녀오시면 제가 말씀좀 드려볼게요 외삼촌이 저 이뻐하시거든요 애들 데리고 수학여행 갈 생각하니까 벌써부터 두통이와서 잠이안와 피부가 푸석푸석해지더라구요 네.,직장 내 괴롭힘 대화,기타 괴롭힘 대화,Workplace_Bullying -> Other_Bullying
여보 식사하세요 어 지금 가. 여보 오늘도 고생 많았어요. 왜이래? 밥이나 먹어. 당신 근데 견과류 알러지 있다고 했죠? 어. 먹으면 목이 부어서 숨이 안쉬어져. 그래서 어릴 때 이 후로 한 번도 먹어본 적없어. 왜? 아니에요. 나도 당신 만나고 견과류 먹어본 기억이 없어서. 내가 안먹으니 너도 안먹어야지. 말이라고 해? 알죠. 그래서 지금까지 안먹었잖아요 근데 여보 오늘 샐러드 드레싱 어때요 ? 땅콩 좀 갈아 넣어봤는데 .윽.뭐야? 당신.일.일부러. 윽 . 살려줘.약.약!.켁. 여보 그 동안 고마웠어요 그러게 내가 원하는 대로 해줬으면 좋았잖아.잘가요 여보,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
씨! 주말에 뭐 했어? 가족들이랑 어디 좀 갔다왔어요 에이. 가족은 무슨. 남자친구겠지 가족들이랑 갔다온 거 맞아요 남자친구가 잘 해줘? 네. 그 때 보니까 힘도 없어 보이던데. 네? 아니 남자가 힘 좀 써야지 안그래? 저 이제 가볼게요.,직장 내 괴롭힘 대화,기타 괴롭힘 대화,Workplace_Bullying -> Other_Bullying
미연씨 혹시 오늘 저녁에 뭐 먹어요? 저 오늘 아직 저녁 생각은 안해봤어요! 아. 혹시 그럼 오늘 저녁에 이거 먹을래요? 네? 아 혹시 저 주시려고 만드신 건가요? 아니 그건 아니고. 이게 내가 실수로 메뉴를 잘못 만들었는데 버리긴 아깝잖아 감사합니다! 그럼 제가 오늘 퇴근하면서 가져가겠습니다! 이거 원래 3만원 짜린데 내가 실수해서 2만원에 줄게요. 네?.아 혹시 제가 사서 가야하나요? 아니면 이번 달 월급에서 빼고 그래도 싸구려 음식도 아닌데 그냥 주기는 아깝잖아? 알겠죠? 그렇게 알고 있을게요. 아.저는 굳이.그렇게 까지.하,직장 내 괴롭힘 대화,갈취 대화,Workplace_Bullying -> Extortion
혹시 오늘 56교시에 자율 빠지고 수업 보충인가요? 저희반 애들이 그러길래. 네 모르셨어요? 어떻게 애들보다 학교 공지가 더 느릴 수 있어요. 저한테 공지가 안 와서 미쳐 확인 못 했네요. 이를 어쩌죠 교과서 안 가지고 온 애들이 많다고 하던데. 혹시 저희반 5교시 수학이던데 선생님. 오늘은 교과서 없이 수업 나가실 수 없을까요? 그건 안되겠는데요. 이제 곧 시험이라 다른반이랑 똑같이 안 맞춰주면 애들사이에서 불만 나와요. 그니까 왜 담임이 되어서 학교 공지 확인을 안 하고 다니십니까? 제가 확인 안 한게 아니고 공지 문자가 저한테만 안 온거 같아요. 누락된거 같아요. 국어쌤 쌤이 학교 공지 담당이죠? 어제 수업 보충한다고 공지 보낸거 누락된 분도 계세요? 없을걸요? 왜요 화학쌤이 그러셔요? 아니 제가 아무리 공지 누락 시켰다해도 알아서 확인 하셔야지. 그럼 뭐 애들은 따로 공지 받고 소식 아나요? 저한테 공지가 안 온걸 제가 무슨 수로 알아봅니까. 학사일정에 자율이라 되어있으니 저는 학급활동 하려고 했죠. 화학 쌤 반 애들 너무 불쌍하다. 시험기간 얼마 남았다고 에휴. 못난 담임 둬서 애들이 불쌍하네요. 그러게 말이에요. 학교에 관심도 없고 공지도 안 해주고 애들 무슨 대학 수업 듣는것도 아니고 다 자기들 알아서 해야 하는건가봐요. 선생님 분발 좀 해요. 공지 안 온다고 손 빼놓고 있지 말고요. 일부러 공지 저한테만 안 보내신거 아니죠.? 왠지 말씀하시는거 보니까 일부러 그러신거 같은데요. 저봐 저봐 또 남한테 핑계를 찾네. 일부러 그랬다면 어쩔건데요. 그리고 담임이 되어서 내일 변동사항 없는지 다른 쌤들을 통해서라도 물어봐야 하는거 아닌가요?,직장 내 괴롭힘 대화,기타 괴롭힘 대화,Workplace_Bullying -> Other_Bullying
아저씨 담배 있어요? 없는데. 그럼 저기 편의점에서 하나만 사다 주세요. 지금 삥 뜯는 건가? 에이. 부탁하는 거죠. 누가 부탁을 이렇게 무서운 표정으로 해. 하. 이 아저씨 말귀를 못 알아듣네. 거지냐고 썅. 아니. 말보로 레드. 어어.,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
김씨 저번에 빌려간 돈 이자가 오백만원이야 아니 원금이 50만원인데 어떻게 이자가 500일 수 있습니까? 계약서에 적혀있잖아 당장 돈 갚아 그럴수 없습니다 이건 법적으로 따져도 이자가 너무 높습니다 김씨 죽고 싶어 ? 김씨 신장 하나 잃고 싶어? 아니 무슨 말을 그렇게 합니까? 돈 없으면 몸으로 갚아야 할 것 아냐 경찰에 신고하겠습니다 신고? 당신 몸으로 갚아 그럼 야! 김씨가 신장하나 떼 가란다 이거놔!,갈취 대화,협박 대화,Extortion -> Threat
너 이자식 빨리 돈 안내놔 기다려 보라니까 돈주는게 어디 그렇게 쉽나 너 녀석이 시간 끌어서 경찰 데려오려는것 다 알아 그래서 어쩔건데 죽여야지 빨리 돈 줘! 나 죽이면 너 죄는 가중되고 돈도 없을 텐데 너 이 자식 고문 한다고 하더라도 난 돈을 안줄거야 뭐야! 어처피 날 죽일건데 너 진짜 이세상에서 흔적을 아예 없애줘? 어디서 이 자식이,갈취 대화,협박 대화,Extortion -> Threat
빌린 돈 당장 갚아 지금 당장은 돈이 없습니다 내일까지 계좌로 오백 보내. 당장 내일까지요? 그 돈을 어디서 구해요 안 보내면 . 시간을 조금만 더 주세요 제가 다음 주까지는 꼭 꼭 구해올게요 . 안 보내면 . 너 콩팥 한 쪽은 무사하지 못할 줄 알아 제발 한 번만 봐주세요 죽기 싫으면 내일 저기 앞 뒷골목에서 보자. 흐읍흐읍 넵,협박 대화,갈취 대화,Threat -> Extortion
왜 남의것을 함부로 만져? 뭐? 싸가지봐라 내맘인데? 이리줘 싫어 이거 웃기다 애들 보여줄래 이리달라고 그래 가져가 내놔 근데 폰으로 이미 다 찍어놨는데 뭐? 비밀 지켜주는대신 뭐해줄래?,협박 대화,갈취 대화,Threat -> Extortion
아 진짜 쟤 왜 이렇게 죽여버리고 싶지? 그런 마음드는게 하루 이틀이냐 그만 하라고 제발 좀 니가 뭔데 이래라 저래라야 아 왜 치는데 더 때려줘? 주먹으로 아주 어루만져 줄까? 아니 이게 진짜 나 저 새끼 한 손으로 이길 수 있는데 너 쟤랑 두 손으로 싸우면 내가 더 센 거다. 크크 걱정마 나 쟤 발로 상대해도 이겨,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
야 저기 도움반 애 온다 쟤 진짜 짜증나 저번에 계속 나쫓아다님 지능이 낮아서 그런가 어어없네 확 쥐어패버릴까보다 안녕 얘들아 꺼지라고 말걸지말라고 죽여버린다 꺼지라고 왜그래 미안해 내눈에띄면죽인다 앞으로 다른길로가 응,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
아 나와봐 어 여기 내자린데. 아 잠깐만 나오라고 응. 너 옆에 계속 서있을거야? 신경쓰이니까 좀 어디 가있어 응. 근데 그 공책 내껀데. 야 내가 가진댔냐? 잠깐 쓰는거야 아. 응. 야 펜좀 여기. 돌려줘야해 어 알았어,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
배고픈데 빵 좀 사와라 너가 좀 가 너가 가고 싶지 않으면 조용히 해 애들 그만 좀 시켜 너가 해라 그럼 싫어 싫어? 싫다 하면 끝이야? 애들 그만 시키라고 그러니까 너가 해 아니면 넌 내 손에 맞아 죽어 하,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
죄송하지만 좀 조용히 해주시겠어요? 왜요? 제가 잠을 좀 자려는 데 시끄러워서요. 하하하 여보세요! 발로 그만 차세요. 안했어요? 무슨소리에요? 발로 차놓고서 안했다고 하나요? 여기 있어요! 그래? 있으면 어쩔건대? 공공장소에서 통화 간단히 하셔야죠. 30분 이상 떠들면 어떻게 합니까? 내가 내 입갖고 말하는 데 네가 보태준거 있어? 죽을래?,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
야 별이 핸드폰에 이상한 영상 있더라 그게 뭔데? 노래방에서 알바한 영상 이던가? 뭔 헛소리야 너네 남편이 알아도 그럴까? 나 일리가 없잖아 그럼 영상 보내볼게 보고도 그런지 보자 나아니라구 그래? 그럼 너네 남편에게도 보내보면 알겠지 새끼야 너 협박죄야 이거,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
나 너 살 안 빼면 헤어질거야 뭐? 진짜 내가 그 말 하지 말라고 했지 나 너 뱃살 있는 거 진짜 싫어 개새끼 살 얼른 빼 보기 싫으니까 작작 말해 미친 새끼 응응 이번에 살 안 빼면 진짜 나랑 그만 만나 알겠어 오빠 그래 뚱땡아아 응응 알겠어,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
빌려간돈 500만원 갚겠다고한지가 벌써 2주가 지났는데 언제 갚을거요? 거래처에서 주기로 한돈이 아직 입금이 안됐는데 몇일만 기다려주시죠 그렇게 미룬지가 벌써 3번째인데 왜자꾸 미룹니까? 돈이 있으면 당장 드리죠 없으니 못드리는겁니다 자꾸 이런식으로 나오면 당신 회사로 쳐들어갈거요 험한꼴 안당할려면 당장 오늘까지 500 입금하세요 지금 협박하는거요? 있는데 안주는것도 아니고 맘데로 하세요 이거 안되겠네 너 집에 처자식 앞에서 맞아볼래? 내가 좋은 말로 하니까 우습지? 맘대로 하라니까 지금은 돈 없어 못줘 기다릴거면 기다리고 이 새끼가 너 밤길 조심해라 대가리 깨지는 수가있다 잔말 말고 당장 돈 갖고 와 지금 통화내용 다 녹음했고 협박죄로 신거할거요,협박 대화,갈취 대화,Threat -> Extortion
야 뒤질래? 하하 성찬아 왜 그래? 내가 뭐. 잘못했어? 내가 오늘까지 내 아이디 레벨 30 만들어 오랬지. 만만하냐 이제? 아. 진짜 미안해. 엄마가 컴퓨터 선을 뽑아버렸어. 그 자식에 그 어미네. 야 내가 너 괴롭히는거야? 괴롭히다니. 우리 친구잖아. 그치 우리 친구지. 근데 왜 친구 부탁 안 들어줘? 개같이 맞을래? 내가 내일까지는 무조건 해올게. 정말 미안해! 내일까지 안 해오면 너 애들 앞에서 바지 벗을 줄 알아. 미안해 성찬아.,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
야. 보이냐? 개멋있지. 오백만원짜리 시계야. 응. 한번 만져나볼래? 아. 넌 본적도 없어서 뭐가 뭔지도 모르겠지? 불쌍해라 불쌍해. 넌 여기있으면 안되고 후원 받는데 들어가야돼. 아니야. 나도 열심히 살고 있어. 열심히 산다고 돈이 들어와? 어휴 냄새. 좀 씻고나 다녀라 . 옷도 그게 뭐냐. 너 옷 일주일동안 입지? 촌스럽긴. 아니야.,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
니가 내책가져갓냐 잠깐 빌려 간거야 그럼 말을 하고 빌려가던가 잠깐 보고 냅둘랴고 했어 근데 왜 아직 들고 잇냐 책하나 가지고 왜그러냐 당장 내놔라 아직 덜 봣어 다보고 줄게 죽고 싶냐 당장 내놔라 너 협박죄로 고소할꺼야,협박 대화,갈취 대화,Threat -> Extortion
그게 사실이야? 죄송합니다 그게. 솔직히 너가 그랬을 거라고 생각하지 않아. .아닙니다 한테 상황 들었어. 괘씸한 가 아픈 아이 가지고 협박을 했다던데. 그건.! 나 믿지? 말해봐. 제가 그 일을 하지 않으면 제 아이 병원비를 끊을 것이며 최대한 고통스럽게 질식시킬거라고. 이런 그 돈은 걱정말아. 내가 대신 내줄게. 네 회장님.,협박 대화,갈취 대화,Threat -> Extortion
지우야 너 카톡계정 있지? 그것좀 빌려주라. 네 근데 왜요? 내가 계정이 정지됐는데 비밀번호를 까먹었어 그거 비번 재설정하면 되지 않아요? 아 내가 몰라서 묻는거 같아? 여러번 했는데 안되서 너한테 물어보는거잖아. 다른애들한테 부탁하면 안될까요? 너 안빌려주면 죽는다. 제발요 너 형이 잘해주니까 무시하냐? 야이 네,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
야 빵좀 사와 미안해 나영아 나 오늘은 돈이 없어 아니 이 미친놈이 그럼 다른 애들 삥 뜯어서라도 구해와 아니 내가 어떡해 그렇게 하니 이 새끼가 대들어? 그럼 빵을 훔쳐서라도 오라고 미친것아 너 이상해 도대체 왜 그러는거야 아니 이 미친것이 우리가 우습나 그냥 니가 만만하니까 그런거지 아 아 그렇구나 아 아 그렇구나 그런식으로 말만 하지말고 빨리 사와 쓰레기야,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
